id,environment,primitive,evidence_type,psnr_delta,ssim_delta,mse_delta,masked_mse_delta,independent_confirmation_pass,video_path,poster_path
cloth_move_long_horizon_trajectory_7,cloth_move,next_forcing,aggregate_official_gate_pass,0.5,0.007000000000000006,-0.001301,-0.0020789999999999975,True,videos/01_cloth_move_long_horizon_trajectory_7_gt_baseline_ours.mp4,posters/01_cloth_move_long_horizon_trajectory_7.png
push_cube_color_identity_sample_7,push_cube,cfg_guidance_schedule,aggregate_official_gate_pass,0.14999999999999858,0.00019999999999997797,-5.600000000000006e-05,-0.00028400000000000127,True,videos/02_push_cube_color_identity_sample_7_gt_baseline_ours.mp4,posters/02_push_cube_color_identity_sample_7.png
robot_arm_long_horizon_baseline_hard_trajectory_72,robot_arm,self_forcing_finetune,aggregate_official_gate_pass,2.219999999999999,0.013500000000000068,-0.000761,-0.006051000000000001,True,videos/03_robot_arm_long_horizon_baseline_hard_trajectory_72_gt_baseline_ours.mp4,posters/03_robot_arm_long_horizon_baseline_hard_trajectory_72.png
pour_water_event_trajectory_24,pour_water,checkpoint_delta_scaling,selected_trajectory_event_positive,0.41999999999999815,0.0016000000000000458,-7.300000000000004e-05,-0.0005939999999999999,True,videos/04_pour_water_event_trajectory_24_gt_baseline_ours.mp4,posters/04_pour_water_event_trajectory_24.png
