environment,probe,d_psnr_d_dose,d_ssim_d_dose,d_negative_mse_d_dose,d_negative_masked_mse_d_dose,response_l2,locality_residual,locality_threshold,locality_pass,repeat_count,chart_id,source_chart
push_sand,action_conditioning_attenuation,-10.259698166771472,-0.018000205357869465,-0.0011018789761389296,-0.01242081169039011,10.259721534785784,1.0762093023485935,0.5,False,3,acwm_phys_irg_calibration_pilot_v1:push_sand:one_sided,results/reports/acwm-irg-fingerprint-atlas-pilot-r2-one-sided/charts/push_sand.json
push_sand,self_rollout_temporal_mix,3.214872609121926,0.006647706031799316,0.0003792576414222519,0.0034607124204436937,3.214881367211661,0.25592072073070116,0.5,True,3,acwm_phys_self_rollout_temporal_mix_probe_pilot_v1:push_sand,results/reports/acwm-self-rollout-temporal-mix-atlas-pilot-r1/charts/push_sand.json
push_sand,motion_region_scale,-1.5420590395310778,-0.0027579069137573242,-0.0001766716983790199,-0.001708371564745903,1.5420624621578556,0.047799558383604994,0.5,True,3,acwm_phys_motion_region_probe_pilot_v1:push_sand,results/reports/acwm-motion-region-atlas-pilot-r1/charts/push_sand.json
push_sand,action_embedding_temporal_mix,4.923955215453191,0.004096825917561849,0.00040999128638456267,0.000832614799340566,4.923957007236307,3.942298641521022,0.5,False,3,acwm_phys_action_temporal_mix_probe_pilot_v1:push_sand,results/reports/acwm-action-temporal-mix-atlas-pilot-r1/charts/push_sand.json
push_sand,motion_region_event_alignment,-1.6550660802638124,-0.0031665960947672525,-0.0001924956450238824,-0.0018077654143174489,1.6550701080138612,0.030857839222159605,0.5,True,3,acwm_phys_motion_region_event_alignment_probe_pilot_v1:push_sand,results/reports/acwm-motion-region-event-alignment-atlas-pilot-r1/charts/push_sand.json
push_sand,action_temporal_alignment,-9.952346128039599,-0.020607709884643555,-0.0012108184940492113,-0.011038264880577723,9.952373658549226,1.2942567939650496,0.5,False,3,acwm_phys_action_temporal_alignment_probe_pilot_v1:push_sand,results/reports/acwm-action-temporal-alignment-atlas-pilot-r1/charts/push_sand.json
pour_water,action_conditioning_amplification,9.368436286443588,0.025548537572224934,0.0014310574624687433,0.013428349047899246,9.36848085600908,1.3844060346092004,0.5,False,3,acwm_phys_irg_calibration_pilot_v1:pour_water:one_sided,results/reports/acwm-irg-fingerprint-atlas-pilot-r2-one-sided/charts/pour_water.json
pour_water,action_conditioning_attenuation,-29.33938932993205,-0.0793766975402832,-0.006022356683388352,-0.05330288472274939,29.339545742559526,0.01360407107594664,0.5,True,3,acwm_phys_irg_calibration_pilot_v1:pour_water:one_sided,results/reports/acwm-irg-fingerprint-atlas-pilot-r2-one-sided/charts/pour_water.json
pour_water,self_rollout_temporal_mix,-12.476432334679757,-0.027158657709757488,-0.002513722089740137,-0.025504335450629394,12.476488215217321,1.4613123386531077,0.5,False,3,acwm_phys_self_rollout_temporal_mix_probe_pilot_v1:pour_water,results/reports/acwm-self-rollout-temporal-mix-atlas-pilot-r1/charts/pour_water.json
pour_water,motion_region_scale,-1.600619912993236,-0.007975300153096518,-0.00028308655600994825,-0.0018737961848576863,1.600640903679881,0.2919442844029916,0.5,True,3,acwm_phys_motion_region_probe_pilot_v1:pour_water,results/reports/acwm-motion-region-atlas-pilot-r1/charts/pour_water.json
