environment,pc1,pc2,pc1_explained_variance_ratio,pc2_explained_variance_ratio,active_probe_count,local_probe_count
push_cube,-0.34959315240313776,-0.2815841062069935,0.3755208818181115,0.24669906129273042,7,6
stack_cube,3.751699866966476,2.9934557396390895,0.3755208818181115,0.24669906129273042,7,6
push_rope,2.392628179633968,-0.13513214054130035,0.3755208818181115,0.24669906129273042,7,3
cloth_move,-4.449729658666511,4.2566797911788035,0.3755208818181115,0.24669906129273042,7,7
push_sand,-1.0881367082883433,-0.35504997152211126,0.3755208818181115,0.24669906129273042,7,4
pour_water,3.6382561835421923,-3.6623867880795125,0.3755208818181115,0.24669906129273042,7,5
robot_arm,-5.293268470158556,-3.7078742004132295,0.3755208818181115,0.24669906129273042,7,6
reacher,1.398143759373912,0.8918916759452526,0.3755208818181115,0.24669906129273042,7,3
