subset_size,replicate_count,benefit_sign_accuracy,selection_regret,top1_positive_hit,negative_selection,ranking_kendall_tau,gram_condition_number,probe_gpu_hours
1,16,0.58203125,0.1953125,0.3046875,0.6953125,0.328125,79731.18161637297,0.0
2,16,0.5338541666666666,0.1328125,0.3671875,0.6328125,0.4010416666666667,4057.3306663325907,0.0
4,16,0.5416666666666666,0.140625,0.359375,0.640625,0.3854166666666667,933.8430492533463,0.0
6,16,0.5377604166666666,0.1484375,0.3515625,0.6484375,0.3697916666666667,540.380630332313,0.0
8,16,0.5416666666666666,0.125,0.375,0.625,0.4166666666666667,431.00815684949106,0.0
