dose,sample_index,seed,gpu_uuid,final_frame_mae,delta_final_frame_mae,rollout_video_l1,delta_rollout_video_l1,rollout_video_psnr,delta_rollout_video_psnr,temporal_difference_mae,delta_temporal_difference_mae
-0.05,465,1111,GPU-6ea0c721-af7e-4359-f9ee-703b6a1206ec,0.07508314223732425,0.00039960341775606423,0.06492480478420842,-0.00090261361508788,18.57790143304598,0.1080763055874101,0.0474850602281237,-0.00141373789789747
-0.05,529,1212,GPU-9f4e9fc4-3bd8-3036-fda8-bd55ab3b79b0,0.078736824433056,-0.0001138800690731745,0.057610634531590356,-0.00017442733090707735,18.706281481418706,0.019118140475463008,0.02768882239211968,-0.0001707775518667333
-0.05,689,1313,GPU-1bab3084-8771-59f2-bc11-29910f239335,0.19487168328505636,-0.0017833512824322884,0.1479492371246162,-0.0014839013700886639,12.223652574424765,0.05152439003341058,0.10766200222197453,-0.0009561729620038567
0.0,465,1111,GPU-6ea0c721-af7e-4359-f9ee-703b6a1206ec,0.07468353881956818,0.0,0.0658274183992963,0.0,18.46982512745857,0.0,0.04889879812602117,0.0
0.0,529,1212,GPU-9f4e9fc4-3bd8-3036-fda8-bd55ab3b79b0,0.07885070450212918,0.0,0.05778506186249743,0.0,18.687163340943243,0.0,0.027859599943986412,0.0
0.0,689,1313,GPU-1bab3084-8771-59f2-bc11-29910f239335,0.19665503456748865,0.0,0.14943313849470485,0.0,12.172128184391354,0.0,0.10861817518397839,0.0
0.05,465,1111,GPU-6ea0c721-af7e-4359-f9ee-703b6a1206ec,0.07362684365097046,-0.0010566951685977294,0.06616113721273705,0.00033371881344074206,18.420881506119656,-0.048943621338914056,0.04965892843879971,0.0007601303127785369
0.05,529,1212,GPU-9f4e9fc4-3bd8-3036-fda8-bd55ab3b79b0,0.07830678104575164,-0.0005439234563775347,0.05740485938002884,-0.00038020248246859595,18.79623815499431,0.10907481405106623,0.028131034610814034,0.00027143466682762185
0.05,689,1313,GPU-1bab3084-8771-59f2-bc11-29910f239335,0.20074205210809076,0.004087017540602117,0.15135238094409176,0.0019192424493869042,12.062683010448659,-0.10944517394269582,0.11020897402718992,0.0015907988432115328
