dose,outcome,mean,population_std,repeat_count
-0.05,negative_final_frame_mae,-0.11623054998514554,0.05562768036039617,3
-0.05,negative_rollout_video_l1,-0.09016155881347165,0.04097101491758382,3
-0.05,rollout_video_psnr,16.502611829629817,3.026135003596037,3
-0.05,negative_temporal_difference_mae,-0.06094529494740597,0.034007948208697764,3
0.0,negative_final_frame_mae,-0.11672975929639534,0.05654130370992229,3
0.0,negative_rollout_video_l1,-0.09101520625216619,0.04143799367960621,3
0.0,rollout_video_psnr,16.44303888426439,3.0212930597651573,3
0.0,negative_temporal_difference_mae,-0.06179219108466199,0.03420688580961254,3
0.05,negative_final_frame_mae,-0.11755855893493762,0.058850633561419875,3
0.05,negative_rollout_video_l1,-0.09163945917895255,0.04237446455644501,3
0.05,rollout_video_psnr,16.426600890520874,3.0895585015202514,3
0.05,negative_temporal_difference_mae,-0.06266631235893455,0.03474757605017367,3
