campaign_id,locality_state,dose_radius,locality_residual,outcome,jacobian,response_coordinate,covariance_diagonal
ctrl_world_irg_calibration_pilot_v1,failed,0.1,1.2572685086058268,rollout_video_psnr,4.699363150880238,4.699363150880238,11.128946538568842
ctrl_world_irg_calibration_pilot_v1,failed,0.1,1.2572685086058268,negative_rollout_video_l1,0.01277743528286616,0.01807002226937383,0.000184717010857464
ctrl_world_irg_calibration_pilot_v1,failed,0.1,1.2572685086058268,negative_segment_final_mae,-0.13261482119560242,-0.18754567870650396,0.004442468697554022
ctrl_world_irg_calibration_pilot_v1,failed,0.1,1.2572685086058268,negative_segment_view_pair_mae,-0.06709086087842782,-0.06709086087842782,0.010981338150734363
ctrl_world_irg_calibration_pilot_v1,failed,0.1,1.2572685086058268,negative_segment_view_fused_mae,0.05463277921080589,0.05463277921080589,0.010505569246745897
ctrl_world_irg_calibration_narrow_pilot_v1,passed,0.025,0.3566448329322512,rollout_video_psnr,4.2709840258828535,4.2709840258828535,6.688564601449788
ctrl_world_irg_calibration_narrow_pilot_v1,passed,0.025,0.3566448329322512,negative_rollout_video_l1,0.0090867280960083,0.01285057411097159,0.0003814593772855091
ctrl_world_irg_calibration_narrow_pilot_v1,passed,0.025,0.3566448329322512,negative_segment_final_mae,-0.35374604165554047,-0.5002724497450631,0.9401861308349858
ctrl_world_irg_calibration_narrow_pilot_v1,passed,0.025,0.3566448329322512,negative_segment_view_pair_mae,-0.27948860079050064,-0.27948860079050064,0.07984945899636581
ctrl_world_irg_calibration_narrow_pilot_v1,passed,0.025,0.3566448329322512,negative_segment_view_fused_mae,-0.21123498678207397,-0.21123498678207397,0.05692975312072274
