dose,outcome,mean,population_std,repeat_count
0.0,negative_final_frame_mae,-0.13844005181512842,0.031499503845831105,3
0.0,negative_rollout_video_l1,-0.09363898209977133,0.019822380178065518,3
0.0,rollout_video_psnr,15.611545669421938,1.280570647596579,3
0.0,negative_temporal_difference_mae,-0.0515136694572873,0.009745156447418173,3
0.00625,negative_final_frame_mae,-0.13842800064575492,0.031601414434115606,3
0.00625,negative_rollout_video_l1,-0.09364165230222982,0.019796862118124883,3
0.00625,rollout_video_psnr,15.6125919357117,1.2798720183932435,3
0.00625,negative_temporal_difference_mae,-0.051535083218959395,0.00966341988981666,3
0.0125,negative_final_frame_mae,-0.13861519994677166,0.03161148441695798,3
0.0125,negative_rollout_video_l1,-0.09369360153310065,0.019819621426967773,3
0.0125,rollout_video_psnr,15.608520886638322,1.2803777769175264,3
0.0125,negative_temporal_difference_mae,-0.05154713817608273,0.009636573725033947,3
