training_seed,eval_seed,checkpoint_sha256,pass,delta_psnr,delta_ssim,delta_mse,delta_masked_mse
4101,1101,db93c5fea669f0220ce0040f514135affbbec0ced0a5fee6906ecfcdafee81d7,True,1.0599999999999987,0.00770000000000004,-0.003314000000000001,-0.016618000000000008
4101,2202,db93c5fea669f0220ce0040f514135affbbec0ced0a5fee6906ecfcdafee81d7,True,0.8200000000000003,0.0042999999999999705,-0.0022260000000000005,-0.012785999999999992
4101,3303,db93c5fea669f0220ce0040f514135affbbec0ced0a5fee6906ecfcdafee81d7,True,1.0300000000000011,0.007800000000000029,-0.0028350000000000007,-0.011983999999999995
4202,1101,5ee6207a2b4c925c12b168f63fc5567df92e47384aea995071ce9e50a277d9da,True,1.6699999999999982,0.011700000000000044,-0.004817,-0.022875000000000006
4202,2202,5ee6207a2b4c925c12b168f63fc5567df92e47384aea995071ce9e50a277d9da,True,1.3399999999999999,0.006699999999999928,-0.0036019999999999993,-0.018206
4202,3303,5ee6207a2b4c925c12b168f63fc5567df92e47384aea995071ce9e50a277d9da,True,1.120000000000001,0.008399999999999963,-0.002985,-0.012453999999999993
4303,1101,e793a536b19ae06971d04541c25fcc0e15a3fc34267f7017fb2a3ee024890d88,True,1.1799999999999997,0.008299999999999974,-0.0035790000000000006,-0.013329000000000008
4303,2202,e793a536b19ae06971d04541c25fcc0e15a3fc34267f7017fb2a3ee024890d88,True,0.870000000000001,0.0025999999999999357,-0.002423999999999999,-0.010724999999999998
4303,3303,e793a536b19ae06971d04541c25fcc0e15a3fc34267f7017fb2a3ee024890d88,True,0.6900000000000013,0.0048000000000000265,-0.0020999999999999994,-0.005186999999999997
