dose,outcome,mean,population_std,repeat_count
-0.1,negative_final_frame_mae,-0.06433911469680463,0.007493445974968473,3
-0.1,negative_rollout_video_l1,-0.042815506345109645,0.013154469869174014,3
-0.1,rollout_video_psnr,21.28136727904183,1.3681065814867222,3
-0.1,negative_temporal_difference_mae,-0.022465148591330978,0.00479329123046561,3
-0.05,negative_final_frame_mae,-0.06254336796271541,0.008379899083893746,3
-0.05,negative_rollout_video_l1,-0.042686617196397235,0.013364592447351694,3
-0.05,rollout_video_psnr,21.356959132568775,1.4828703373721028,3
-0.05,negative_temporal_difference_mae,-0.022344709106614513,0.004712969751248181,3
0.0,negative_final_frame_mae,-0.0627248511462666,0.008712051264022969,3
0.0,negative_rollout_video_l1,-0.043347125014054945,0.013362736702096839,3
0.0,rollout_video_psnr,21.275905828312496,1.4802440702056434,3
0.0,negative_temporal_difference_mae,-0.02310056885233049,0.004748456709247451,3
0.05,negative_final_frame_mae,-0.0629073104410114,0.008733537176850563,3
0.05,negative_rollout_video_l1,-0.04349785295832617,0.013423807213481272,3
0.05,rollout_video_psnr,21.24575223149542,1.4851407604715379,3
0.05,negative_temporal_difference_mae,-0.02325039571509108,0.0047471647277281225,3
0.1,negative_final_frame_mae,-0.0633793601352578,0.008560027473807921,3
0.1,negative_rollout_video_l1,-0.04379456956591033,0.013414436762053193,3
0.1,rollout_video_psnr,21.18188852876742,1.473908223155377,3
0.1,negative_temporal_difference_mae,-0.023469014078695453,0.004753037071101383,3
