dose,outcome,mean,population_std,repeat_count
0.0,negative_final_frame_mae,-0.08240062620692214,0.02558975311035572,3
0.0,negative_rollout_video_l1,-0.05276113537205179,0.01680756612503288,3
0.0,rollout_video_psnr,20.306903634643216,2.9296356975129285,3
0.0,negative_temporal_difference_mae,-0.03088722221448555,0.014523090893344429,3
0.0125,negative_final_frame_mae,-0.08230681895548624,0.025574218151330614,3
0.0125,negative_rollout_video_l1,-0.05266116464571674,0.01677309541236494,3
0.0125,rollout_video_psnr,20.324886048582965,2.934612802396674,3
0.0125,negative_temporal_difference_mae,-0.030817588704910626,0.014455650453277962,3
0.025,negative_final_frame_mae,-0.08232164630372349,0.025542790547328453,3
0.025,negative_rollout_video_l1,-0.05263966634469186,0.016743865448801975,3
0.025,rollout_video_psnr,20.33122300203078,2.9349677271659034,3
0.025,negative_temporal_difference_mae,-0.030797078281280962,0.01444869472336245,3
