dose,sample_index,seed,gpu_uuid,final_frame_mae,delta_final_frame_mae,rollout_video_l1,delta_rollout_video_l1,rollout_video_psnr,delta_rollout_video_psnr,temporal_difference_mae,delta_temporal_difference_mae
-0.025,0,101,GPU-6ea0c721-af7e-4359-f9ee-703b6a1206ec,0.057620208673747286,-8.102238685880198e-05,0.026899259087118103,-5.319209636191549e-05,23.118289360789102,0.015341789639684578,0.016534150384822494,-9.114655864713578e-05
-0.025,16,202,GPU-9f4e9fc4-3bd8-3036-fda8-bd55ab3b79b0,0.057874041425282206,0.0023801820286194902,0.044368967081584824,0.0009642287806062785,21.031893064874723,-0.215434044658128,0.025189964277811852,0.0003928311628076109
-0.025,32,303,GPU-1bab3084-8771-59f2-bc11-29910f239335,0.07468570122177656,-0.0002937617597544018,0.05956163121913066,-0.00012255433857561587,19.494928166506075,0.01748536225085573,0.02790033259989604,2.10561013784423e-05
-0.0125,0,101,GPU-1bab3084-8771-59f2-bc11-29910f239335,0.05773702481308177,3.579375247568517e-05,0.026955548998718798,3.0978152387797775e-06,23.10292425329269,-2.3317856726379205e-05,0.016584801948715117,-4.049499475451343e-05
-0.0125,16,202,GPU-1bab3084-8771-59f2-bc11-29910f239335,0.055740117937957995,0.00024625854129527863,0.04349263400317516,8.789570219661091e-05,21.221673075306914,-0.02565403422593704,0.024780386828224057,-1.6746286780184444e-05
-0.0125,32,303,GPU-1bab3084-8771-59f2-bc11-29910f239335,0.07481635828258074,-0.00016310469895022828,0.05961278083183231,-7.140472587396918e-05,19.487347974473973,0.009905170218754478,0.027850632405937454,-2.864409258014275e-05
0.0,0,101,GPU-1bab3084-8771-59f2-bc11-29910f239335,0.05770123106060609,0.0,0.026952451183480018,0.0,23.102947571149418,0.0,0.01662529694346963,0.0
0.0,16,202,GPU-1bab3084-8771-59f2-bc11-29910f239335,0.055493859396662716,0.0,0.043404738300978546,0.0,21.24732710953285,0.0,0.02479713311500424,0.0
0.0,32,303,GPU-1bab3084-8771-59f2-bc11-29910f239335,0.07497946298153096,0.0,0.05968418555770628,0.0,19.47744280425522,0.0,0.027879276498517597,0.0
0.0125,0,101,GPU-1bab3084-8771-59f2-bc11-29910f239335,0.05783113379505838,0.00012990273445229183,0.02699977258994661,4.73214064665925e-05,23.090870295074883,-0.012077276074535348,0.016665456359706114,4.01594162364842e-05
0.0125,16,202,GPU-1bab3084-8771-59f2-bc11-29910f239335,0.05549760395003963,3.7445533769137063e-06,0.04343527086892213,3.0532567943580835e-05,21.24235877089648,-0.004968338636370362,0.02490197722475989,0.00010484410975564878
0.0125,32,303,GPU-1bab3084-8771-59f2-bc11-29910f239335,0.07497913417260847,-3.288089224923185e-07,0.05969657923637415,1.2393678667871333e-05,19.474631727266136,-0.0028110769890830056,0.027850372018283293,-2.8904480234303448e-05
0.025,0,101,GPU-1bab3084-8771-59f2-bc11-29910f239335,0.05785903613339275,0.00015780507278666256,0.026985361088287925,3.290990480790679e-05,23.088059926583067,-0.014887644566350389,0.01667306611032196,4.776916685233015e-05
0.025,16,202,GPU-9f4e9fc4-3bd8-3036-fda8-bd55ab3b79b0,0.055424012644830656,-6.98467518320603e-05,0.04340121641893816,-3.5218820403845608e-06,21.24491430944196,-0.002412800090890954,0.024890178303407864,9.30451884036225e-05
0.025,32,303,GPU-9f4e9fc4-3bd8-3036-fda8-bd55ab3b79b0,0.07509325407877797,0.00011379109724700409,0.059755755655126606,7.157009742032872e-05,19.466959277948707,-0.010483526306511948,0.02787226198876017,-7.014509757426873e-06
