dose,outcome,mean,population_std,repeat_count
-0.025,negative_final_frame_mae,-0.06339331710693535,0.00798559377939535,3
-0.025,negative_rollout_video_l1,-0.0436099524626112,0.013345154319486892,3
-0.025,rollout_video_psnr,21.215036864056632,1.48488895756397,3
-0.025,negative_temporal_difference_mae,-0.023208149087510132,0.0048472135035122,3
-0.0125,negative_final_frame_mae,-0.06276450034454016,0.008560855451258467,3
-0.0125,negative_rollout_video_l1,-0.04335365461124208,0.013332621252751142,3
-0.0125,rollout_video_psnr,21.27064843435786,1.4764590289686965,3
-0.0125,negative_temporal_difference_mae,-0.02307194039429221,0.004755265564678833,3
0.0,negative_final_frame_mae,-0.0627248511462666,0.008712051264022969,3
0.0,negative_rollout_video_l1,-0.043347125014054945,0.013362736702096839,3
0.0,rollout_video_psnr,21.275905828312496,1.4802440702056434,3
0.0,negative_temporal_difference_mae,-0.02310056885233049,0.004748456709247451,3
0.0125,negative_final_frame_mae,-0.06276929063923549,0.008686063539428577,3
0.0125,negative_rollout_video_l1,-0.04337720756508096,0.013348478558220451,3
0.0125,rollout_video_psnr,21.269286931079165,1.476446000634628,3
0.0125,negative_temporal_difference_mae,-0.023139268534249764,0.00473328223104371,3
0.025,negative_final_frame_mae,-0.0627921009523338,0.008754850504249356,3
0.025,negative_rollout_video_l1,-0.043380777720784226,0.013378465365949345,3
0.025,rollout_video_psnr,21.26664450465791,1.478388002278865,3
0.025,negative_temporal_difference_mae,-0.023145168800829997,0.00473563024344681,3
