dose,outcome,mean,population_std,repeat_count
-0.1,negative_final_frame_mae,-0.06252178004514096,0.009252033260230743,3
-0.1,negative_rollout_video_l1,-0.043789577231026576,0.014025365708300562,3
-0.1,rollout_video_psnr,21.19176264639076,1.574749232967266,3
-0.1,negative_temporal_difference_mae,-0.023764476699310314,0.005287538878878818,3
-0.05,negative_final_frame_mae,-0.06197051061059947,0.008105395200050006,3
-0.05,negative_rollout_video_l1,-0.04355906114221252,0.013616688829936281,3
-0.05,rollout_video_psnr,21.238507395112308,1.5327694384690098,3
-0.05,negative_temporal_difference_mae,-0.023695029031248968,0.005177864488790517,3
0.0,negative_final_frame_mae,-0.0627248511462666,0.008712051264022969,3
0.0,negative_rollout_video_l1,-0.043347125014054945,0.013362736702096839,3
0.0,rollout_video_psnr,21.275905828312496,1.4802440702056434,3
0.0,negative_temporal_difference_mae,-0.02310056885233049,0.004748456709247451,3
0.05,negative_final_frame_mae,-0.06263433198405625,0.008369446709767973,3
0.05,negative_rollout_video_l1,-0.04261820632411742,0.013305084569423392,3
0.05,rollout_video_psnr,21.345954655974282,1.4483995132736398,3
0.05,negative_temporal_difference_mae,-0.022302764612526404,0.0048137600428227725,3
0.1,negative_final_frame_mae,-0.06490337917574436,0.008182825912121472,3
0.1,negative_rollout_video_l1,-0.04318226424980506,0.012858129143629311,3
0.1,rollout_video_psnr,21.16146227480262,1.22802223912047,3
0.1,negative_temporal_difference_mae,-0.022931954830938062,0.004759520595217784,3
