dose,sample_index,seed,gpu_uuid,final_frame_mae,delta_final_frame_mae,rollout_video_l1,delta_rollout_video_l1,rollout_video_psnr,delta_rollout_video_psnr,temporal_difference_mae,delta_temporal_difference_mae
-0.1,0,101,GPU-1bab3084-8771-59f2-bc11-29910f239335,0.05836091459942562,0.0006596835388195318,0.027084038821889228,0.0001315876384092099,23.06335891352996,-0.039588657619457734,0.017027471840417054,0.00040217489694742425
-0.1,16,202,GPU-1bab3084-8771-59f2-bc11-29910f239335,0.05385904851208161,-0.0016348108845811032,0.04288167341885464,-0.0005230648821239053,21.301238773347766,0.0539116638149153,0.024322876774407722,-0.000474256340596519
-0.1,32,303,GPU-1bab3084-8771-59f2-bc11-29910f239335,0.07534537702391564,0.00036591404238467407,0.06140301945233586,0.0017188338946295817,19.21069025229455,-0.2667525519606677,0.02994308148310617,0.002063804984588573
-0.05,0,101,GPU-1bab3084-8771-59f2-bc11-29910f239335,0.0580752840909091,0.0003740530303030093,0.02700429758097209,5.184639749207173e-05,23.099344598840798,-0.003602972308620167,0.016843945689663187,0.0002186487461935567
-0.05,16,202,GPU-1bab3084-8771-59f2-bc11-29910f239335,0.054581820812289565,-0.000912038584373151,0.04331727778706171,-8.746051391683718e-05,21.270916349548695,0.023589240015844837,0.024881728639411894,8.459552440765253e-05
-0.05,32,303,GPU-1bab3084-8771-59f2-bc11-29910f239335,0.07325442692859975,-0.0017250360529312142,0.06035560805860377,0.000671422500897495,19.345261236947426,-0.13218156730779285,0.02935941276467182,0.0014801362661542236
0.0,0,101,GPU-1bab3084-8771-59f2-bc11-29910f239335,0.05770123106060609,0.0,0.026952451183480018,0.0,23.102947571149418,0.0,0.01662529694346963,0.0
0.0,16,202,GPU-1bab3084-8771-59f2-bc11-29910f239335,0.055493859396662716,0.0,0.043404738300978546,0.0,21.24732710953285,0.0,0.02479713311500424,0.0
0.0,32,303,GPU-1bab3084-8771-59f2-bc11-29910f239335,0.07497946298153096,0.0,0.05968418555770628,0.0,19.47744280425522,0.0,0.027879276498517597,0.0
0.05,0,101,GPU-1bab3084-8771-59f2-bc11-29910f239335,0.0579561353423945,0.0002549042817884123,0.026929274264551165,-2.3176918928852902e-05,23.0562699550925,-0.046677616056918225,0.016215806531537785,-0.00040949041193184474
0.05,16,202,GPU-1bab3084-8771-59f2-bc11-29910f239335,0.055557628985937815,6.376958927509918e-05,0.0414665081033992,-0.0019382301975793478,21.466967026585124,0.21963991705227315,0.022706142402115524,-0.0020909907128887177
0.05,32,303,GPU-1bab3084-8771-59f2-bc11-29910f239335,0.07438923162383643,-0.0005902313576945373,0.059458836604401884,-0.00022534895330439397,19.514626986245226,0.03718418199000695,0.027986344903925906,0.00010706840540830945
0.1,0,101,GPU-1bab3084-8771-59f2-bc11-29910f239335,0.06465712579223609,0.006955894731630004,0.02821648165362261,0.0012640304701425908,22.504109634994776,-0.5988379361546414,0.016856320268400924,0.00023102332493129402
0.1,16,202,GPU-1bab3084-8771-59f2-bc11-29910f239335,0.05500690111903346,-0.00048695827762925553,0.04171997578032167,-0.001684762520656878,21.444094295611183,0.19676718607833266,0.02346087734730886,-0.001336255767695381
0.1,32,303,GPU-1bab3084-8771-59f2-bc11-29910f239335,0.07504611061596352,6.664763443255117e-05,0.059610335315470886,-7.385024223539177e-05,19.536182893801907,0.05874008954668852,0.02847866687710441,0.0005993903785868129
