environment,primitive,verdict,checkpoint_step,eval_seed,delta_psnr,delta_ssim,delta_mse,delta_masked_mse,passed_check_count,candidate_checkpoint_sha256,label_id,evidence_ref,exclusion_reason
pour_water,self_forcing_finetune,fail,512,873,0.1999999999999993,-0.0010999999999999899,-2.299999999999991e-05,-0.00046799999999999967,3,afe43599735236e87477014ba16c69705173b6c6bece652ba5f3270bf95e63e0,acwm-effect-label-gate-pour_water-self_forcing_finetune-s873-r1,results/reports/acwm-effect-label-gate-pour_water-self_forcing_finetune-s873-r1/manifest.json,
push_cube,inv_dyn_reward_finetune,fail,512,980,-1.6499999999999986,-0.011600000000000055,0.0002639999999999999,0.0012529999999999998,0,8e2a669a04a25f81fe28d4fd93386cd1a6bfa68a47cd89d5d94f03661c8c2d25,acwm-effect-label-gate-push_cube-inv_dyn_reward_finetune-s980-r1,results/reports/acwm-effect-label-gate-push_cube-inv_dyn_reward_finetune-s980-r1/manifest.json,
push_cube,latent_motion_prior,excluded,512,994,-1.629999999999999,-0.009199999999999986,0.00035999999999999986,0.0009909999999999997,0,8d789cea9d11b9472ae87a04d8d81aa7ae3de5bfb6c46211acc73f99ae3b6ed3,acwm-effect-label-gate-push_cube-latent_motion_prior-s994-r1,results/reports/acwm-effect-label-gate-push_cube-latent_motion_prior-s994-r1/manifest.json,primitive_invalidated_for_quality_claims
push_cube,self_forcing_finetune,fail,512,2051,-1.2000000000000028,-0.007299999999999973,0.00010300000000000001,0.00032800000000000017,0,bd91c12ab5aad3b50794ec3b9c6aa7381d86c455b258f093d9ad9719de97535a,acwm-effect-label-gate-push_cube-self_forcing_finetune-s2051-r1,results/reports/acwm-effect-label-gate-push_cube-self_forcing_finetune-s2051-r1/manifest.json,
push_rope,action_dimension_balancing,fail,512,2846,-4.730000000000004,-0.006200000000000094,0.000357,0.0050680000000000005,0,935ea59a65410c2c4953cd97e5dc709716d501b5b22dacd2adaa810248f24295,acwm-effect-label-gate-push_rope-action_dimension_balancing-s2846-r1,results/reports/acwm-effect-label-gate-push_rope-action_dimension_balancing-s2846-r1/manifest.json,
push_rope,self_forcing_finetune,pass,512,874,0.01999999999999602,0.0008000000000000229,-2.0000000000000215e-06,-0.0001510000000000001,4,6f95744f9857d5a45fea6a0001c6585994203ceae2210ad666dacfa580197d3e,acwm-effect-label-gate-push_rope-self_forcing_finetune-s874-r1,results/reports/acwm-effect-label-gate-push_rope-self_forcing_finetune-s874-r1/manifest.json,
push_sand,action_dimension_balancing,fail,512,2879,-3.5700000000000003,-0.005300000000000082,0.000495,0.006944,0,932d184f223fb97462863228693798ccaa9cf84cbf01fe01c0ae181e938aa814,acwm-effect-label-gate-push_sand-action_dimension_balancing-s2879-r1,results/reports/acwm-effect-label-gate-push_sand-action_dimension_balancing-s2879-r1/manifest.json,
push_sand,inv_dyn_reward_finetune,fail,512,2881,-1.1099999999999994,-0.0018000000000000238,0.00011300000000000004,0.0014330000000000002,0,e9e83d5e90bc12608b2be483b4a9f74a985f7bf6a7a77b6540ffd25bf9496352,acwm-effect-label-gate-push_sand-inv_dyn_reward_finetune-s2881-r1,results/reports/acwm-effect-label-gate-push_sand-inv_dyn_reward_finetune-s2881-r1/manifest.json,
push_sand,motion_region_reweight,fail,512,3066,-1.889999999999997,-0.0029000000000000137,0.00021999999999999998,0.003811000000000001,0,78b70f2874db5c82e9cc9f3439cda75be0eabed93159b84796de40bca0b6c7b4,acwm-effect-label-gate-push_sand-motion_region_reweight-s3066-r1,results/reports/acwm-effect-label-gate-push_sand-motion_region_reweight-s3066-r1/manifest.json,
reacher,motion_region_reweight,fail,512,2824,-5.319999999999997,-0.00880000000000003,0.0007049999999999999,0.014060999999999997,0,0acaed8e3343af8c1e7b8011cc2df50a0f725892df11eaede933cc57dac49ace,acwm-effect-label-gate-reacher-motion_region_reweight-s2824-r2,results/reports/acwm-effect-label-gate-reacher-motion_region_reweight-s2824-r2/manifest.json,
reacher,next_forcing,fail,512,2843,-4.600000000000001,-0.005800000000000027,0.0006020000000000001,0.015012,0,4e14f54c753df31555d537884df87dd6f6726199bf1bdd0fcee66337db212ad8,acwm-effect-label-gate-reacher-next_forcing-s2843-r1,results/reports/acwm-effect-label-gate-reacher-next_forcing-s2843-r1/manifest.json,
reacher,self_forcing_finetune,fail,512,2842,-4.449999999999996,-0.006000000000000005,0.000577,0.014417999999999999,0,b20c797cfc57c4dc741a1c17dfb79879b43d59618ce9a2129f661480a9a3cadf,acwm-effect-label-gate-reacher-self_forcing_finetune-s2842-r1,results/reports/acwm-effect-label-gate-reacher-self_forcing_finetune-s2842-r1/manifest.json,
robot_arm,motion_region_reweight,fail,512,2832,0.41999999999999815,0.007499999999999951,-0.0001690000000000001,0.0007419999999999996,3,d44ae79f52dfdd93e2ef1b6450963ae81c167c406dd9acec471f797a1478280d,acwm-effect-label-gate-robot_arm-motion_region_reweight-s2832-r1,results/reports/acwm-effect-label-gate-robot_arm-motion_region_reweight-s2832-r1/manifest.json,
stack_cube,latent_spatial_memory,excluded,512,871,-18.479999999999997,-0.8156,0.574305,0.397107,0,aa1158833609fb0351fa6a9a7afd90801cd73cc24cfa78a563b0b30f9c588cef,acwm-effect-label-gate-stack_cube-latent_spatial_memory-s871-r1,results/reports/acwm-effect-label-gate-stack_cube-latent_spatial_memory-s871-r1/manifest.json,runtime_only_primitive_missing_materialized_candidate_runtime
stack_cube,motion_region_reweight,fail,512,2082,-18.459999999999997,-0.8151,0.573981,0.396983,0,264a8a5b7f3e4ade5960b2e36014a63dc4fdb23f057354cc5b7a9a46004e6b5d,acwm-effect-label-gate-stack_cube-motion_region_reweight-s2082-r1,results/reports/acwm-effect-label-gate-stack_cube-motion_region_reweight-s2082-r1/manifest.json,
stack_cube,self_forcing_finetune,fail,512,1810,-18.5,-0.8131999999999999,0.574032,0.397198,0,1718c72a3ec4d1e04422e5aec57f99ebffa192066b4d14b8b4f4f4fbf6ff3d32,acwm-effect-label-gate-stack_cube-self_forcing_finetune-s1810-r1,results/reports/acwm-effect-label-gate-stack_cube-self_forcing_finetune-s1810-r1/manifest.json,
