horizon,training_seed_count,strict_pass_count,strict_pass_rate,mean_delta_psnr,minimum_delta_psnr,maximum_delta_psnr
16,3,2,0.6666666666666666,2.3084557724549484,-0.11830159097307913,3.770775087980155
32,3,2,0.6666666666666666,1.5442113198453444,-0.5987202359597674,2.956265669149577
48,3,2,0.6666666666666666,0.7154035985116257,-0.6182979907543782,1.9464567968879898
