dose,outcome,mean,population_std,repeat_count
0.0,negative_final_frame_mae,-0.08240062620692214,0.02558975311035572,3
0.0,negative_rollout_video_l1,-0.05276113537205179,0.01680756612503288,3
0.0,rollout_video_psnr,20.306903634643216,2.9296356975129285,3
0.0,negative_temporal_difference_mae,-0.03088722221448555,0.014523090893344429,3
0.0125,negative_final_frame_mae,-0.08244138819774545,0.025558675197749358,3
0.0125,negative_rollout_video_l1,-0.052781144200893755,0.01676866461136684,3
0.0125,rollout_video_psnr,20.3087726556679,2.936025272772871,3
0.0125,negative_temporal_difference_mae,-0.030856010591644518,0.014504603093654153,3
0.025,negative_final_frame_mae,-0.08254822272974845,0.025522497960037555,3
0.025,negative_rollout_video_l1,-0.05287130473572524,0.016767651399734736,3
0.025,rollout_video_psnr,20.294808924003597,2.923186076500295,3
0.025,negative_temporal_difference_mae,-0.030877427173981425,0.014435793884636438,3
