transition,paired_count,higher_fidelity_positive_count,positive_recall,false_rejection_rate,rank_correlation
screen_to_frozen_512_gate,21,8,0.75,0.2,0.425974026
screen_to_independent_800_1000_confirmation,6,3,,,0.405839725
