dose,outcome,mean,population_std,repeat_count
-0.1,negative_final_frame_mae,-0.07278272796387074,0.0034152508655619844,3
-0.1,negative_rollout_video_l1,-0.057475146880879895,0.008742638063541372,3
-0.1,rollout_video_psnr,19.075707515679742,0.9010532468623021,3
-0.1,negative_temporal_difference_mae,-0.03289333146814862,0.004864103852180487,3
0.0,negative_final_frame_mae,-0.07138917643551529,0.003673070990023841,3
0.0,negative_rollout_video_l1,-0.056651701750578716,0.008346467910274736,3
0.0,rollout_video_psnr,19.203076738720878,0.8837959431746163,3
0.0,negative_temporal_difference_mae,-0.032026220674112434,0.004591667673080456,3
0.1,negative_final_frame_mae,-0.07135881641166568,0.004299846582441776,3
0.1,negative_rollout_video_l1,-0.05669096733844267,0.008459248410562876,3
0.1,rollout_video_psnr,19.2222271289444,0.8879002700002409,3
0.1,negative_temporal_difference_mae,-0.03191033164699487,0.004585588211746151,3
