dose,sample_index,seed,gpu_uuid,final_frame_mae,delta_final_frame_mae,rollout_video_l1,delta_rollout_video_l1,rollout_video_psnr,delta_rollout_video_psnr,temporal_difference_mae,delta_temporal_difference_mae
-0.1,112,707,GPU-6ea0c721-af7e-4359-f9ee-703b6a1206ec,0.06804457333754209,0.00014295064616755282,0.05345363170422053,0.00022463282681285668,19.73101899097438,-0.02464131486465604,0.030780390744918576,0.00022642435189833277
-0.1,144,808,GPU-9f4e9fc4-3bd8-3036-fda8-bd55ab3b79b0,0.07596317804268173,-0.0005036772442562759,0.06961117692124993,0.0014650200012533143,17.801600203316625,-0.1542926596067531,0.03961909372137432,0.0013795688483332139
-0.1,175,909,GPU-1bab3084-8771-59f2-bc11-29910f239335,0.07434043251138842,0.004541381183155099,0.049360632017169205,0.0007806825628373509,19.694503352748228,-0.20317369465198354,0.028280509938152953,0.0009953391818769974
0.0,112,707,GPU-9f4e9fc4-3bd8-3036-fda8-bd55ab3b79b0,0.06790162269137454,0.0,0.053228998877407674,0.0,19.755660305839037,0.0,0.030553966393020243,0.0
0.0,144,808,GPU-9f4e9fc4-3bd8-3036-fda8-bd55ab3b79b0,0.076466855286938,0.0,0.06814615691999662,0.0,17.955892862923378,0.0,0.03823952487304111,0.0
0.0,175,909,GPU-1bab3084-8771-59f2-bc11-29910f239335,0.06979905132823332,0.0,0.048579949454331854,0.0,19.89767704740021,0.0,0.027285170756275956,0.0
0.1,112,707,GPU-6ea0c721-af7e-4359-f9ee-703b6a1206ec,0.06773245630322837,-0.00016916638814616636,0.053469999135425925,0.00024100025801825076,19.743177944958624,-0.012482360880412102,0.030719468979392615,0.0001655025863723722
0.1,144,808,GPU-9f4e9fc4-3bd8-3036-fda8-bd55ab3b79b0,0.07739930710289165,0.0009324518159536527,0.0682792943122247,0.00013313739222807486,17.972303379855077,0.016410516931699703,0.03802643444826635,-0.00021309042477475615
0.1,175,909,GPU-1bab3084-8771-59f2-bc11-29910f239335,0.06894468582887701,-0.0008543654993563021,0.04832360856767739,-0.00025634088665446586,19.951200062019495,0.05352301461928377,0.026985091513325635,-0.0003000792429503213
