abstained_cell_count,benefit_sign_accuracy,benefit_sign_accuracy_bootstrap_95,benefit_sign_accuracy_fold_count,evaluated_cell_count,evaluated_fold_count,gpu_hours,negative_selection,negative_selection_bootstrap_95,negative_selection_fold_count,planned_cell_count,ranking_kendall_tau,ranking_kendall_tau_bootstrap_95,ranking_kendall_tau_fold_count,selection_regret,selection_regret_bootstrap_95,selection_regret_fold_count,selector,top1_positive_hit,top1_positive_hit_bootstrap_95,top1_positive_hit_fold_count,trials_to_first_positive,trials_to_first_positive_bootstrap_95,trials_to_first_positive_fold_count
0,0.4791666666666667,"[0.3125, 0.6666666666666666]",8,24,8,0.0,0.625,"[0.25, 0.875]",8,24,0.4166666666666667,"[-0.16666666666666669, 0.9166666666666666]",8,0.125,"[0.0, 0.375]",8,environment_label,0.375,"[0.0, 0.75]",8,1.25,"[1.0, 1.75]",4
0,0.4166666666666667,"[0.2916666666666667, 0.5]",8,24,8,0.0,0.625,"[0.25, 0.875]",8,24,0.4166666666666667,"[-0.16666666666666669, 0.9166666666666666]",8,0.125,"[0.0, 0.375]",8,static_probe,0.375,"[0.0, 0.75]",8,1.25,"[1.0, 1.75]",4
0,0.4791666666666667,"[0.3125, 0.6666666666666666]",8,24,8,0.0,0.625,"[0.25, 0.875]",8,24,0.4166666666666667,"[-0.16666666666666669, 0.9166666666666666]",8,0.125,"[0.0, 0.375]",8,raw_response,0.375,"[0.0, 0.75]",8,1.25,"[1.0, 1.75]",4
0,0.5416666666666666,"[0.4375, 0.6875]",8,24,8,0.0,0.625,"[0.25, 0.875]",8,24,0.4166666666666667,"[-0.16666666666666669, 0.9166666666666666]",8,0.125,"[0.0, 0.375]",8,irg,0.375,"[0.0, 0.75]",8,1.25,"[1.0, 1.75]",4
