campaign_id,environment,primitive,seed,train_steps,horizon,baseline_psnr,candidate_psnr,delta_psnr,baseline_ssim,candidate_ssim,delta_ssim,baseline_masked_mse,candidate_masked_mse,delta_masked_mse
acwm-autoloop-confirm-cloth_move-inv_dyn_reward_finetune-s2812-t1000-r1,cloth_move,inv_dyn_reward_finetune,2812,1000,16,24.01089321038828,24.009594269832263,-0.0012989405560155376,0.9374610781669617,0.9394401013851166,0.0019790232181549072,0.03960104659199715,0.04489656165242195,0.005295515060424805
acwm-autoloop-confirm-cloth_move-inv_dyn_reward_finetune-s2812-t1000-r1,cloth_move,inv_dyn_reward_finetune,2812,1000,32,20.589571426648146,21.836958551152065,1.2473871245039199,0.9206381570547819,0.9268940147012472,0.0062558576464653015,0.06125926226377487,0.056617673486471176,-0.004641588777303696
acwm-autoloop-confirm-cloth_move-inv_dyn_reward_finetune-s2812-t1000-r1,cloth_move,inv_dyn_reward_finetune,2812,1000,48,19.27522625598234,20.00204648580988,0.7268202298275419,0.9110375866293907,0.9160134568810463,0.004975870251655579,0.06917846202850342,0.06482693552970886,-0.004351526498794556
acwm-autoloop-confirm-cloth_move-motion_region_reweight-s2814-t1000-r1,cloth_move,motion_region_reweight,2814,1000,16,24.01089321038828,25.1410835932005,1.13019038281222,0.9374610781669617,0.9427609741687775,0.005299896001815796,0.03960104659199715,0.03219205141067505,-0.007408995181322098
acwm-autoloop-confirm-cloth_move-motion_region_reweight-s2814-t1000-r1,cloth_move,motion_region_reweight,2814,1000,32,20.589571426648146,21.379314478906988,0.7897430522588422,0.9206381570547819,0.9235225562006235,0.0028843991458415985,0.06125926226377487,0.049553003162145615,-0.011706259101629257
acwm-autoloop-confirm-cloth_move-motion_region_reweight-s2814-t1000-r1,cloth_move,motion_region_reweight,2814,1000,48,19.27522625598234,19.476279053084756,0.20105279710241675,0.9110375866293907,0.9123273367683092,0.0012897501389185217,0.06917846202850342,0.0705023854970932,0.0013239234685897827
acwm-autoloop-confirm-cloth_move-next_forcing-s2802-t1000-r1,cloth_move,next_forcing,2802,1000,16,24.01089321038828,21.204917464467844,-2.805975745920435,0.9374610781669617,0.9266755804419518,-0.010785497725009918,0.03960104659199715,0.07374823838472366,0.03414719179272652
acwm-autoloop-confirm-cloth_move-next_forcing-s2802-t1000-r1,cloth_move,next_forcing,2802,1000,32,20.589571426648146,18.288345082605446,-2.3012263440427,0.9206381570547819,0.9074942730367184,-0.013143884018063545,0.06125926226377487,0.11887253075838089,0.05761326849460602
acwm-autoloop-confirm-cloth_move-next_forcing-s2802-t1000-r1,cloth_move,next_forcing,2802,1000,48,19.27522625598234,17.426436058502123,-1.8487901974802163,0.9110375866293907,0.8996773896118005,-0.011360197017590168,0.06917846202850342,0.1183634027838707,0.04918494075536728
acwm-autoloop-confirm-cloth_move-self_forcing_finetune-s2805-t1000-r1,cloth_move,self_forcing_finetune,2805,1000,16,24.01089321038828,24.370143212823162,0.3592500024348837,0.9374610781669617,0.9434692487120628,0.006008170545101166,0.03960104659199715,0.03995586931705475,0.00035482272505760193
